author,exclusive,ingredients,master,num_tried,picture,rating,title
小羽私厨,True,"牛里脊,蒜,酱油,料酒,淀粉,鸡蛋,香菜,黄油,酱油,料酒,糖,蚝油,香菜",True,277,True,8.2,黑胡椒蒜子牛肉粒
馨怡煮香香,False,"牛里脊,香芹,红薯淀粉,盐,料酒,生抽,蚝油,姜,蒜,郫县豆瓣,白糖",False,282,True,7.8,小炒牛肉
呤儿,True,"生姜,老抽,生抽,冰糖,盐",True,283,False,7.9,红烧牛肉
summer的家,False,"牛腩肉,葱,姜,白胡椒粉,萝卜,盐,鸡精,香菜",False,281,True,7.9,牛肉萝卜汤
如意妈妈美食,True,,False,238,True,8.0,大葱牛肉饺子馅、包子馅
Jin小厨一级公共营养师,True,"牛肉,蛋清,生粉,橄榄油,红辣椒,西芹,蒜片,盐,花生油",True,273,True,7.7,西芹炒牛肉！
小花牛,False,"牛肉,咖喱,洋葱,胡萝卜,土豆,黑胡椒,黄油,鸡粉",False,277,False,8.0,牛肉咖喱饭
皮皮Gillian,False,"牛肉,香菜,朝天椒,青椒",False,266,True,7.6,香菜牛肉
佟小鹤,False,"米饭,肉馅,胡萝卜,洋葱,黑胡椒碎,葱蒜,橄榄油,生抽,盐",True,275,True,8.2,"""芝士""就是力量--黑胡椒牛肉焗饭"
木棉,False,"酱油,黄酒,盐,八角,花椒",False,269,True,8.1,炖牛肉
吃货喵330,True,"牛肉,芹菜,干辣椒,大蒜,小米椒,盐,酱油",True,2597,False,8.0,芹菜牛肉末「下饭神器」
偏离.于墨尔本.,False,"面粉,温开水,冷水,香葱,洋葱,姜,鸡蛋,料酒,盐,生抽,鸡粉,芝麻油,食用油,黑胡椒粉,水",True,1699,False,8.7,洋葱牛肉馅饼
堂妈小厨,False,,True,973,True,8.6,堂妈教你做牛肉馅饼
我很家常,True,,True,331,True,9.2,大肚饺子包法——后附视频  (胡萝卜牛肉馅儿)
烟火间,False,"面粉,酵母,水,鸡蛋,葱姜,香油,卷心菜,香菜",True,254,True,8.3,牛肉馅饼
臭臭-臭妞子,True,"洋葱,姜,鸡蛋,料酒,生抽,海盐,油,水,水",False,192,True,8.2,"牛肉馅饼(附超详尽步骤图,从牛肉馅料调拌,到和面,更有海量馅饼包法图)"
堂妈小厨,False,,True,155,True,8.9,牛肉馅饼
AYZYAKIRA,False,"番茄,洋葱,牛肉末,黑胡椒粉,番茄酱,油,水",False,128,False,7.7,番茄牛肉末
我很家常,True,"面粉,凉水,酱油,姜末,葱花,盐",True,120,True,7.9,内酯嫩豆腐牛肉馅儿小笼包(一人份)
Linkku,False,"牛肉,洋葱,蒜末,姜末,西葫芦,西红柿,孜然,辣椒粉,盐,糖,番茄酱,生抽,蚝油",False,118,False,8.4,墨西哥辣牛肉末玉米饼
简单,False,"牛骨,葱,姜",False,173,False,7.5,牛骨汤
木可厨房,False,"白萝卜,姜片,盐",False,138,True,8.1,萝卜牛骨汤
梓晴,False,"生姜,大葱",False,106,False,8.0,香浓牛骨汤
孙小婷私房菜达人,True,"牛百叶,白菜,葱姜蒜,豆瓣酱,豆豉,糖",False,125,True,7.3,水煮牛百叶
槑-adele,False,"牛百叶,生姜,料酒,鲜红辣椒,麻油,生抽,醋,小葱,白糖,鸡精,味精",False,108,False,7.1,凉拌牛百叶
小蕙的厨房,False,"牛筋,干辣椒,姜,蒜,生抽,老抽,糖,盐",False,392,True,7.6,红烧牛筋
Elephant-Cafe,False,"白萝卜,牛筋,鸡蛋,米,糖,酒,味啉,水",False,156,False,7.6,萝卜炖牛筋加蛋
呤儿,True,"牛筋,葱段,生姜,蒜瓣,红烧酱油,白砂糖,盐,料酒,八角,桂皮,香叶,花椒,干红辣椒",True,126,False,8.1,香辣牛筋
吃货喵330,True,"牛肉,芹菜,干辣椒,大蒜,小米椒,盐,酱油",True,2597,False,8.0,芹菜牛肉末「下饭神器」
偏离.于墨尔本.,False,"面粉,温开水,冷水,香葱,洋葱,姜,鸡蛋,料酒,盐,生抽,鸡粉,芝麻油,食用油,黑胡椒粉,水",True,1699,False,8.7,洋葱牛肉馅饼
堂妈小厨,False,,True,973,True,8.6,堂妈教你做牛肉馅饼
我很家常,True,,True,331,True,9.2,大肚饺子包法——后附视频  (胡萝卜牛肉馅儿)
烟火间,False,"面粉,酵母,水,鸡蛋,葱姜,香油,卷心菜,香菜",True,254,True,8.3,牛肉馅饼
臭臭-臭妞子,True,"洋葱,姜,鸡蛋,料酒,生抽,海盐,油,水,水",False,192,True,8.2,"牛肉馅饼(附超详尽步骤图,从牛肉馅料调拌,到和面,更有海量馅饼包法图)"
堂妈小厨,False,,True,155,True,8.9,牛肉馅饼
AYZYAKIRA,False,"番茄,洋葱,牛肉末,黑胡椒粉,番茄酱,油,水",False,128,False,7.7,番茄牛肉末
我很家常,True,"面粉,凉水,酱油,姜末,葱花,盐",True,120,True,7.9,内酯嫩豆腐牛肉馅儿小笼包(一人份)
